"","ReleaseDate","Movie","Genre","ProductionBudget","DomesticBoxOfficeToDate","Year","NetflixStars","OnNetflix","Awards","Nominations","BestPicture","RottenTomatosCriticsScore","RottenTomatosAudienceScore","BigGenre","Oscar","Blockbuster","CalDate"
"1","6-Jan","The Devil Inside","Horror",1000000,53261944,2012,3.1,"On Netflix",0,0,0,6,22,"Horror"," Nominated"," Under 100M",1.193548387
"2","13-Jan","Contraband","Action",25000000,66528000,2012,NA,"Not on Netflix",0,0,0,51,57,"Action"," Nominated"," Under 100M",1.419354839
"3","13-Jan","The Divide","Thriller/Suspense",3000000,18000,2012,NA,"Not on Netflix",0,0,0,26,38,"Thriller/Suspense"," Nominated"," Under 100M",1.419354839
"4","13-Jan","Newlyweds","Comedy",9000,4584,2012,3.2,"On Netflix",0,0,0,70,54,"Comedy"," Nominated"," Under 100M",1.419354839
"5","20-Jan","Haywire","Thriller/Suspense",23000000,18942396,2012,NA,"Not on Netflix",0,0,0,80,40,"Thriller/Suspense"," Nominated"," Under 100M",1.64516129
"6","20-Jan","Red Tails","Action",58000000,49876377,2012,NA,"Not on Netflix",0,0,0,40,58,"Action"," Nominated"," Under 100M",1.64516129
"7","20-Jan","Underworld: Awakening","Action",70000000,62321039,2012,NA,"Not on Netflix",0,0,0,26,62,"Action"," Nominated"," Under 100M",1.64516129
"8","27-Jan","The Grey","Thriller/Suspense",25000000,51580136,2012,3.6,"On Netflix",0,0,0,79,61,"Thriller/Suspense"," Nominated"," Under 100M",1.870967742
"9","27-Jan","One for the Money","Comedy",42000000,26414527,2012,3.5,"On Netflix",0,0,0,2,43,"Comedy"," Nominated"," Under 100M",1.870967742
"10","3-Feb","Chronicle","Thriller/Suspense",12000000,64575175,2012,NA,"Not on Netflix",0,0,0,76,61,"Thriller/Suspense"," Nominated"," Under 100M",2.096774194
"11","3-Feb","Kill List","Horror",800000,29063,2012,3,"On Netflix",0,0,0,76,57,"Horror"," Nominated"," Under 100M",2.096774194
