Release Date,Movie,Genre,Production Budget,Domestic Box Office to Date,Trailer,Year
,,,,,,
,,,,,,
,,,,,,2012
2-Jan,Albatross,Drama,,0,,2012
,,,,,,2012
3-Jan,Removal,,,0,,2012
,,,,,,2012
4-Jan,Bir zamanlar Anadolu'da,Drama,,0,,2012
,It's About You,Documentary,,0,,2012
,,,,,,2012
6-Jan,Agneepath,Action,,1973574,,2012
,Beneath the Darkness,Thriller/Suspense,,9600,,2012
,The Devil Inside,Horror,1000000,53261944,Play,2012
,Kongen av Bastøy,Drama,,4162,,2012
,Roadie,Drama,,7825,,2012
,,,,,,2012
7-Jan,Indelatino's 'El muerto',,,0,,2012
,,,,,,2012
10-Jan,Answer This,Comedy,,0,,2012
,Scorpion King 3: Battle for Redemption,Action,,0,,2012
,,,,,,2012
11-Jan,Loosies,Comedy,,3519,,2012
,,,,,,2012
12-Jan,Northeast,Drama,,0,,2012
,Xi Yang Yang Yu Hui Tai Lang Zhi Kaixin Chuang Long Nian,Adventure,,0,,2012
,,,,,,2012
13-Jan,Contraband,Action,25000000,66528000,Play,2012
,Le diable probablement,,,24878,,2012
,The Divide,Thriller/Suspense,3000000,18000,Play,2012
,Domaine,Drama,,6914,,2012
,Don't Go in the Woods,Horror,,0,,2012
,Joyful Noise,Musical,27500000,30932113,Play,2012
,Lula: o Filho do Brasil,Drama,,0,,2012
,Man on a Mission,Documentary,,8688,,2012
,Newlyweds,Comedy,9000,4584,,2012
,Santa Mesa,Drama,,10490,,2012
,Sing Your Song,Documentary,,47718,,2012
,Sophomore,Comedy,,13500,,2012
,Vettai,Action,,202581,,2012
,,,,,,2012
17-Jan,Joy Road,,,0,,2012
,Safe Haven Live Cinema Fan Event,Documentary,,0,,2012
,Thurgood,Drama,,0,,2012
,,,,,,2012
18-Jan,Benvenuti al nord,Comedy,,0,,2012
,Crazy Horse,Documentary,,154691,,2012
,Daensing Kwin,Romantic Comedy,,0,,2012
,,,,,,2012
19-Jan,Bu-reo-jin hwa-sal,Drama,,0,,2012
,,,,,,2012
20-Jan,Carol Channing: Larger Than Life,Documentary,,20370,,2012
,Go-ji-jeon,Action,,0,,2012
,Hagane no renkinjutsushi: Mirosu no seinaru hoshi,Adventure,,178000,,2012
,Haywire,Thriller/Suspense,23000000,18942396,Play,2012
,Miss Bala,Drama,,40540,,2012
,The Pruitt-Igoe Myth,Documentary,,44883,,2012
,Red Tails,Action,58000000,49876377,Play,2012
,Ultrasuede: In Search of Halston,Documentary,,10357,,2012
,Underworld: Awakening,Action,70000000,62321039,Play,2012
,Watching TV with the Red Chinese,Comedy,,0,,2012
,,,,,,2012
21-Jan,Always 3 Chome no yuhi '64 3,Drama,,0,,2012
,,,,,,2012
24-Jan,Bad Girl Island,Thriller/Suspense,,0,,2012
,,,,,,2012
25-Jan,How Much Does Your Building Weigh Mr. Foster?,Drama,,13013,,2012
,,,,,,2012
26-Jan,Strawberrry Shortcake: Berry Brick Road,Adventure,,0,,2012
,,,,,,2012
27-Jan,The Grey,Thriller/Suspense,25000000,51580136,Play,2012
,La guerre est déclarée,Drama,,46225,,2012
,An Inconsistent Truth,Documentary,,52756,,2012
