ID,Word,Count
0,absurd,2
1,accident,2
2,added,26
3,addressed,2
4,advance,3
5,advantage,3
6,adventures,6
7,advice,2
8,advisable,2
9,afraid,12
10,age,4
11,agree,2
12,ah,5
13,air,13
14,alarm,2
15,alas,4
16,alice,377
17,alices,12
18,alive,3
19,allow,3
20,aloud,5
21,altogether,5
22,andoh,2
23,anger,2
24,angrily,8
25,angry,5
26,animals,5
27,ann,4
28,answer,9
29,answered,4
30,anxious,3
31,anxiously,12
32,appear,2
33,appeared,8
34,apples,2
35,archbishop,2
36,arches,4
37,argument,4
38,arm,11
39,arms,6
40,ashamed,2
41,ask,11
42,asked,16
43,asking,5
44,asleep,8
45,assembled,2
46,atom,2
47,attending,3
48,authority,2
49,aw,6
50,away,24
51,baby,12
52,bad,2
53,bank,2
54,bark,2
55,barrowful,2
56,bat,3
57,bats,4
58,beasts,2
59,beat,4
60,beating,2
61,beauootiful,6
62,beautiful,15
63,beautifully,2
64,beg,9
65,began,59
66,begin,13
67,beginning,13
68,begins,4
69,begun,7
70,beheaded,2
71,believe,9
72,belongs,2
73,bend,2
74,best,12
75,better,14
76,bills,3
77,bird,2
78,birds,9
79,bit,15
80,bite,2
81,blasts,8
82,blew,8
83,blow,2
84,body,2
85,book,7
86,boots,4
87,bottle,10
88,bowed,4
89,box,4
90,boy,2
91,branches,2
92,breadandbutter,5
93,break,2
94,breath,4
95,breathe,3
96,bright,6
97,brightened,2
98,bring,3
99,bringing,3
100,broke,2
101,broken,6
102,brought,3
103,brown,2
104,burn,2
105,busily,4
106,business,6
107,butter,3
108,cake,3
109,cakes,3
110,called,15
111,came,40
112,candle,3
113,capital,4
114,cards,3
115,care,4
116,carefully,2
117,cares,2
118,carried,4
119,carrying,2
120,case,5
121,cat,35
122,catch,3
123,catching,2
124,caterpillar,27
125,cats,15
126,caucusrace,3
127,caught,3
128,cauldron,2
129,cause,3
130,caused,2
131,cautiously,3
132,certain,3
133,certainly,14
134,chance,8
135,change,11
136,changed,8
137,changes,2
138,changing,2
139,chapter,12
140,checked,3
141,cheered,3
142,cheshire,7
143,child,9
144,children,7
145,chimney,5
146,chin,7
147,choice,2
148,choked,3
149,chorus,6
150,chose,2
151,civil,3
152,claws,2
153,clear,2
154,clever,2
155,clock,2
156,close,12
157,coaxing,2
158,collected,2
159,come,45
160,comes,2
161,comfits,2
162,coming,9
163,concert,2
164,concluded,2
165,conclusion,2
166,confused,3
167,confusing,3
168,confusion,5
169,conqueror,2
170,consider,3
171,considered,3
172,considering,3
173,constant,2
174,contemptuously,2
175,continued,10
176,conversation,10
177,cook,13
178,cool,2
179,corner,3
180,courage,2
181,course,25
182,court,18
183,crab,3
184,crash,2
185,creature,4
186,creatures,10
187,cried,20
188,croquet,5
189,croquetground,3
190,crossed,3
191,crossexamine,2
192,crowd,4
193,crowded,5
194,crown,3
195,crumbs,4
196,crying,2
197,cup,2
198,cupboards,2
199,curiosity,5
200,curious,19
201,curiouser,2
202,curled,2
203,cushion,2
204,custody,2
205,cut,5
206,dance,14
207,dancing,2
208,dare,5
209,dark,3
210,day,24
211,days,3
212,dead,4
213,deal,12
214,dear,28
215,dears,3
216,decided,3
217,decidedly,3
218,declare,2
219,deep,7
220,deeply,4
221,delight,3
222,delighted,2
223,delightful,2
224,denied,2
225,deny,2
226,did,60
227,didnt,14
228,different,9
229,difficult,2
230,difficulty,5
231,digging,4
232,dinah,11
233,dinahll,2
234,dinn,2
235,dinner,2
236,dipped,2
237,directed,2
238,direction,5
239,directions,3
240,directly,2
241,disappeared,2
242,dish,4
243,dishes,2
244,dispute,2
245,distance,6
246,dodo,13
247,does,9
248,doesnt,16
249,dog,2
250,dogs,4
251,doing,4
252,dont,60
253,door,29
254,doors,2
255,dormouse,39
256,doth,3
257,doubt,4
258,doubtful,2
259,doubtfully,2
260,draw,8
261,dreadful,2
262,dreadfully,6
263,dream,6
264,drew,5
265,drink,7
266,drive,2
267,dropped,5
268,drunk,2
269,dry,8
270,duchess,38
271,duchesss,3
272,duck,4
273,dull,2
274,eager,2
275,eagerly,8
276,eaglet,3
277,ear,5
278,earls,2
279,earnestly,2
280,ears,5
281,earth,4
282,easily,3
283,easy,2
284,eat,18
285,edge,3
286,editions,3
287,edwin,2
288,eeevening,4
289,effect,3
290,eggs,5
291,elbow,3
292,em,3
293,encouraging,2
294,end,17
295,english,6
296,entangled,2
297,entirely,2
298,escape,4
299,evening,2
300,everybody,7
301,everythings,2
302,evidence,7
303,exactly,8
304,excellent,2
305,exclaimed,6
306,executed,6
307,execution,2
308,executioner,5
309,executions,2
310,expecting,3
311,experiment,2
312,explain,10
313,explanation,2
314,explanatione,2
315,extraordinary,2
316,extremely,2
317,eye,7
318,eyes,25
319,face,13
320,faces,4
321,fact,8
322,fall,7
323,fallen,4
324,falling,2
325,fan,10
326,fancied,2
327,fancy,5
328,far,13
329,fashion,2
330,fast,4
331,faster,3
332,father,7
333,fear,4
334,feeble,2
335,feel,7
336,feeling,7
337,feelings,2
338,feet,19
339,fell,6
340,fellow,4
341,felt,23
342,ferrets,2
343,fetch,7
344,fight,2
345,figure,3
346,filled,2
347,finding,3
348,finger,5
349,finish,5
350,finished,12
351,fish,3
352,fishfootman,2
353,fit,3
354,flamingo,5
355,flamingoes,2
356,flat,2
357,floor,3
358,flowers,2
359,fly,3
360,folded,3
361,follow,3
362,followed,7
363,follows,3
364,fond,3
365,foot,9
366,footman,10
367,footsteps,2
368,forehead,2
369,forget,2
370,forgetting,3
371,forgot,2
372,forgotten,6
373,fountains,2
374,free,3
375,french,4
376,friend,3
377,friends,2
378,fright,2
379,frightened,7
380,frog,2
381,frowning,4
382,fun,3
383,funny,3
384,fur,3
385,fury,2
386,game,11
387,games,2
388,garden,15
389,gardeners,5
390,gave,15
391,general,3
392,generally,7
393,gently,3
394,getting,22
395,girl,4
396,girls,3
397,giving,2
398,glad,11
399,glass,10
400,gloves,10
401,goes,7
402,going,26
403,golden,7
404,goldfish,2
405,gone,12
406,good,25
407,goose,2
408,got,44
409,grand,3
410,grass,3
411,grave,3
412,gravely,3
413,great,39
414,green,4
415,grin,6
416,grinned,3
417,ground,4
418,grow,15
419,growing,11
420,growl,3
421,grown,6
422,grunted,4
423,gryphon,54
424,guess,3
425,guessed,3
426,guests,3
427,guineapig,2
428,guineapigs,3
429,hadnt,8
430,hair,7
431,half,20
432,hall,9
433,hand,19
434,handed,3
435,hands,12
436,hanging,3
437,happen,9
438,happened,6
439,happens,5
440,hard,8
441,hardly,12
442,hare,31
443,hastily,16
444,hatter,55
445,hatters,2
446,havent,8
447,having,10
448,head,47
449,heads,8
450,hear,14
451,heard,30
452,hearing,4
453,hearts,8
454,hedge,2
455,hedgehog,7
456,hedgehogs,3
457,height,5
458,held,4
459,help,9
460,hes,3
461,high,15
462,hint,2
463,history,7
464,hit,2
465,hoarse,3
466,hold,9
467,holding,3
468,home,5
469,honour,4
470,hookah,5
471,hope,3
472,hoping,3
473,hot,5
474,hour,2
475,hours,3
476,house,17
477,howling,3
478,humbly,2
479,hungry,3
480,hunting,3
481,hurried,10
482,hurriedly,2
483,hurry,11
484,hurt,3
485,id,11
486,idea,15
487,ii,2
488,ill,33
489,im,57
490,imagine,2
491,immediately,3
492,impatiently,5
493,important,5
494,impossible,3
495,inches,6
496,indignantly,4
497,inside,2
498,instance,3
499,instantly,4
500,instead,3
501,interesting,5
502,interrupted,9
