ID,Word,Count
16,alice,377
579,little,126
539,know,85
1057,thought,75
1068,time,68
65,began,59
530,king,59
795,queen,58
444,hatter,55
804,quite,55
1108,turtle,55
423,gryphon,54
646,mock,54
1053,think,53
1051,thing,49
448,head,47
805,rabbit,46
159,come,45
408,got,44
1145,voice,44
595,looked,43
850,round,41
111,came,40
255,dormouse,39
413,great,39
270,duchess,38
653,mouse,38
698,oh,38
1078,tone,38
1176,white,36
121,cat,35
617,march,33
546,large,32
1044,thats,32
442,hare,31
590,long,31
451,heard,30
596,looking,30
842,right,30
1039,tell,30
253,door,29
837,replied,29
214,dear,28
594,look,28
647,moment,28
1052,things,28
124,caterpillar,27
772,poor,27
2,added,26
402,going,26
610,make,26
181,course,25
318,eyes,25
406,good,25
893,shall,25
962,soon,25
50,away,24
210,day,24
1013,sure,24
1046,theres,24
1081,took,24
1192,wont,24
341,felt,23
1218,youre,23
394,getting,22
1067,till,21
1186,wish,21
1195,words,21
187,cried,20
431,half,20
641,minute,20
967,sort,20
200,curious,19
338,feet,19
433,hand,19
699,old,19
1092,tried,19
182,court,18
284,eat,18
972,soup,18
1019,table,18
1131,use,18
1189,wonder,18
294,end,17
476,house,17
519,jury,17
567,let,17
1027,talking,17
42,asked,16
248,doesnt,16
443,hastily,16
798,question,16
865,sat,16
62,beautiful,15
79,bit,15
110,called,15
125,cats,15
388,garden,15
390,gave,15
418,grow,15
461,high,15
486,idea,15
810,ran,15
869,saying,15
75,better,14
133,certainly,14
206,dance,14
227,didnt,14
450,hear,14
563,left,14
608,mad,14
668,near,14
710,ought,14
831,remember,14
867,saw,14
878,seen,14
887,set,14
924,silence,14
973,speak,14
978,spoke,14
1011,suppose,14
1026,talk,14
1105,turned,14
13,air,13
66,begin,13
67,beginning,13
177,cook,13
246,dodo,13
319,face,13
328,far,13
524,kept,13
603,low,13
738,people,13
819,really,13
847,room,13
875,sea,13
936,size,13
1006,suddenly,13
1049,theyre,13
1101,trying,13
1200,wouldnt,13
9,afraid,12
17,alices,12
31,anxiously,12
51,baby,12
74,best,12
139,chapter,12
156,close,12
213,deal,12
350,finished,12
405,gone,12
435,hands,12
441,hardly,12
535,knew,12
751,pigeon,12
1033,tea,12
1100,try,12
1132,used,12
1213,yes,12
38,arm,11
41,ask,11
135,change,11
232,dinah,11
386,game,11
398,glad,11
419,growing,11
483,hurry,11
485,id,11
571,life,11
611,makes,11
642,minutes,11
670,nearly,11
815,read,11
1036,tears,11
1054,thinking,11
1106,turning,11
1148,waited,11
1160,wasnt,11
87,bottle,10
175,continued,10
176,conversation,10
186,creatures,10
312,explain,10
325,fan,10
366,footman,10
399,glass,10
400,gloves,10
447,having,10
481,hurried,10
513,join,10
566,lessons,10
609,majesty,10
624,mean,10
640,mind,10
695,offended,10
703,opened,10
797,queer,10
826,remark,10
828,remarked,10
835,repeated,10
922,sight,10
935,sitting,10
944,small,10
964,soooop,10
1152,walked,10
1187,witness,10
1194,word,10
1215,youd,10
28,answer,9
64,beg,9
71,believe,9
78,birds,9
143,child,9
162,coming,9
228,different,9
247,does,9
365,foot,9
432,hall,9
437,happen,9
459,help,9
466,hold,9
502,interrupted,9
525,key,9
622,matter,9
654,mouth,9
771,pool,9
791,puzzled,9
812,rate,9
820,reason,9
839,rest,9
885,serpent,9
902,shook,9
1020,tail,9
1104,turn,9
1149,waiting,9
1155,want,9
24,angrily,8
33,appeared,8
44,asleep,8
81,blasts,8
82,blew,8
134,chance,8
136,changed,8
260,draw,8
269,dry,8
275,eagerly,8
303,exactly,8
321,fact,8
429,hadnt,8
440,hard,8
446,havent,8
449,heads,8
453,hearts,8
509,itll,8
560,leave,8
580,live,8
612,making,8
625,meaning,8
650,moral,8
659,mushroom,8
684,nose,8
687,noticed,8
705,opportunity,8
725,party,8
750,pig,8
761,play,8
817,ready,8
857,running,8
934,sit,8
943,slowly,8
995,story,8
1071,timidly,8
1113,twinkle,8
1162,watch,8
1177,whiting,8
1182,window,8
1196,work,8
69,begun,7
85,book,7
142,cheshire,7
144,children,7
146,chin,7
219,deep,7
265,drink,7
300,everybody,7
302,evidence,7
317,eye,7
322,fall,7
332,father,7
335,feel,7
336,feeling,7
343,fetch,7
362,followed,7
379,frightened,7
392,generally,7
401,goes,7
403,golden,7
430,hair,7
455,hedgehog,7
463,history,7
507,isnt,7
528,kind,7
533,knave,7
547,larger,7
557,learn,7
577,listen,7
586,lobster,7
587,lobsters,7
597,lory,7
605,lying,7
614,manage,7
637,middle,7
672,neck,7
739,pepper,7
756,place,7
765,pleased,7
796,queens,7
834,repeat,7
901,shoes,7
931,sir,7
932,sister,7
939,slates,7
960,somebody,7
961,song,7
1029,tarts,7
1073,tired,7
1087,trees,7
1090,trial,7
1181,william,7
1193,wood,7
1197,world,7
6,adventures,6
39,arms,6
49,aw,6
61,beauootiful,6
96,bright,6
101,broken,6
106,business,6
149,chorus,6
245,distance,6
262,dreadfully,6
263,dream,6
295,english,6
305,exclaimed,6
306,executed,6
339,fell,6
372,forgotten,6
415,grin,6
421,grown,6
438,happened,6
495,inches,6
527,kid,6
549,late,6
561,leaves,6
573,liked,6
619,marked,6
630,melancholy,6
678,nice,6
682,nonsense,6
702,open,6
716,pair,6
722,pardon,6
770,politely,6
788,puppy,6
846,roof,6
884,sentence,6
889,seven,6
896,sharp,6
900,shes,6
928,sing,6
940,sleep,6
954,sneezing,6
983,stand,6
991,stood,6
993,stop,6
1002,stupid,6
1003,subject,6
1015,surprised,6
1069,times,6
1077,told,6
1089,trembling,6
1095,trouble,6
1120,understand,6
1191,wondering,6
1201,wow,6
1203,write,6
1205,written,6
1216,youll,6
1219,youth,6
1220,youve,6
12,ah,5
20,aloud,5
21,altogether,5
25,angry,5
26,animals,5
43,asking,5
92,breadandbutter,5
120,case,5
145,chimney,5
168,confusion,5
188,croquet,5
193,crowded,5
199,curiosity,5
205,cut,5
208,dare,5
230,difficulty,5
238,direction,5
264,drew,5
267,dropped,5
277,ear,5
280,ears,5
290,eggs,5
308,executioner,5
327,fancy,5
348,finger,5
349,finish,5
354,flamingo,5
389,gardeners,5
439,happens,5
457,height,5
468,home,5
470,hookah,5
473,hot,5
492,impatiently,5
493,important,5
501,interesting,5
516,jumped,5
521,jurymen,5
568,lets,5
574,likely,5
585,lizard,5
599,loud,5
613,man,5
652,morning,5
669,nearer,5
674,nervous,5
675,new,5
686,notice,5
689,number,5
727,passed,5
748,piece,5
767,pocket,5
781,prizes,5
832,remembered,5
854,rule,5
860,sadly,5
871,school,5
894,shant,5
908,shouldnt,5
909,shouted,5
916,shut,5
920,sighed,5
925,silent,5
941,sleepy,5
957,soldiers,5
970,sounded,5
974,speaking,5
987,stay,5
1005,sudden,5
1014,surprise,5
1016,swam,5
1017,swim,5
1024,taking,5
1042,temper,5
1074,tis,5
1084,treacle,5
1086,tree,5
1112,twice,5
1135,usual,5
