title,release,artist_name,duration,artist_familiarity,artist_hotttnesss,year,term
Old Man Rocking Chair,Dusty Porch,John Williams,132.64934,0.705287678078,0.517298018026,2004,acoustic
Mailbox Arson,Crisis,Alexisonfire,212.11383,0.831163941109,0.578933540317,2005,acoustic
One Year_ Six Months,Ocean Avenue,Yellowcard,208.79628,0.872933783073,0.627467258563,2003,acoustic
Ciudad desierta,Calle ilusion,Alex Ubago,186.09587,0.5814752193,0.292662773044,2009,acoustic
20 horas de nada,Calle ilusion,Alex Ubago,216.58077,0.5814752193,0.292662773044,2009,acoustic
Temblando,Siempre en mi mente,Alex Ubago,201.09016,0.5814752193,0.298377039157,2003,acoustic
Loko,Nou La,Kassav',335.56853,0.601395113088,0.436730221089,2000,acoustic
An Mouvman,Se Nou Manm (Live Au Zenith),Kassav',268.90404,0.601395113088,0.436730221089,2009,acoustic
Bath Of Least Resistance,Punk-O-Rama 6,NOFX,108.12036,0.666652798741,0.554291489013,2001,acoustic
We March To The Beat Of Indifferent Drum,Wolves In Wolves' Clothing,NOFX,158.11873,0.561131213326,0.554291489013,2006,acoustic
Feriado,Francisco Forro Y Frevo,Chico Cesar,238.23628,0.584225422145,0.359873045913,2008,acoustic
Suti-suti,Gommin ja Pommin metsäkarnevaali,M.A. Numminen,118.30812,0.519969697662,0.41977664523,2002,acoustic
Memory,Blurred 1999-2004,Uphill Battle,210.36363,0.466262209646,0.369609834555,2002,acoustic
Climate Control,Uphill Battle,Uphill Battle,323.36934,0.466262209646,0.369609834555,2002,acoustic
Thresh Hold,Wreck of Nerves,Uphill Battle,166.37342,0.466262209646,0.369609834555,2004,acoustic
The Letter That Johnny Walker Read,Kings Of The Texas Swing - Live,Asleep At The Wheel,238.21016,0.604258728444,0.461023015726,2002,acoustic
I Hate Christmas,Santa Loves to Boogie,Asleep At The Wheel,180.50567,0.604259559858,0.461023015726,2007,acoustic
The Raggle Taggle Gypsy,Further Down The Old Plank Road,The Chieftains,187.92444,0.662670206488,0.378969800502,2003,acoustic
The Sun Shine Down My Way,DUBB,Doug MacLeod,337.42322,0.467413843769,0.37273761334,2004,acoustic
Alive,Everybody is Someone,Dala,240.27383,0.58948340591,0.376745428989,2009,acoustic
FRIENDS IN FALL RIVER  (LP Version),18 CANDLES: THE EARLY YEARS,Silverstein,181.81179,0.77977441092,0.605507135691,2006,acoustic
MY CONSOLATION (LP Version),18 CANDLES: THE EARLY YEARS,Silverstein,242.83383,0.801136449608,0.605507135691,2006,acoustic
BLEEDS NO MORE (Live Version),18 CANDLES: THE EARLY YEARS,Silverstein,256.46975,0.801136449608,0.605507135691,2006,acoustic
MY HERIONE (Acoustic Version),18 CANDLES: THE EARLY YEARS,Silverstein,214.04689,0.801136449608,0.605507135691,2006,acoustic
Always And Never (Album Version),Discovering The Waterfront,Silverstein,229.642,0.801136449608,0.605507135691,2005,acoustic
Defend You (Album Version),Discovering The Waterfront,Silverstein,208.16934,0.801136449608,0.605507135691,2005,acoustic
Lullaby,Taking The Long Way,Dixie Chicks,351.84281,0.827409365182,0.57690228099,2006,acoustic
I Don't Want To Hear Any More,Long Road Out Of Eden,Eagles,261.17179,0.767020210404,0.681987760426,2007,acoustic
Last Good Time In Town,Long Road Out Of Eden,Eagles,427.36281,0.767020210404,0.629514800013,2007,acoustic
Deliverance,Dressed Up As Life,Sick Puppies,190.9024,0.782984211165,0.675117718829,2006,acoustic
Master Of The Universe,Tri-polar (Edited),Sick Puppies,212.92363,0.782984211165,0.675117718829,2009,acoustic
This House Is Haunted,THE EYES OF,Alice Cooper,210.54649,0.838924310507,0.607792751463,2003,acoustic
Traveling Fast,Day Trip/Tokyo Day Trip,Pat Metheny,711.70567,0.725974866336,0.463979513898,2008,acoustic
Sally In the Garden,Coal,Kathy Mattea,44.64281,0.603383145272,0.422127199293,2008,acoustic
Isle Of Inishmore - Part 1 (Air),Roses,Kathy Mattea,124.83873,0.603383145272,0.422127199293,2002,acoustic
Execution,Killafornia,First Blood,283.48036,0.662374025888,0.388881954204,2005,acoustic
Hold On,22-20s,22-20s,317.46567,0.593240643949,0.464277500246,2004,acoustic
Acension Final Chord Rising,Atlantis Nath,Terry Riley,142.41914,0.609814360368,0.409762630954,2002,acoustic
Piranha,Abnormal,Bumblefoot,200.35873,0.645533996473,0.448407442123,2008,acoustic
In Da House Skit,Dealin' w/50,50 Cent,27.68934,0.883487079775,0.588649958891,2007,acoustic
U Not Like Me,Get Rich Or Die Tryin',50 Cent,255.63383,0.883487079775,0.588649958891,2002,acoustic
Outta Control,The Massacre (Ecopac Reissue Explicit),50 Cent / Mobb Deep,247.77098,0.88348708528,0.588649958891,2005,acoustic
La valse du mariage,Le passager de la pluie (Original Soundtrack),Francis Lai,123.24526,0.552719818114,0.371711094041,2003,acoustic
Big Train,Conway Twitty's Big Train,Conway Twitty,140.7473,0.663231984801,0.493711076643,2009,acoustic
Night is the Notion,We Sing of Only Blood or Love,Dax Riggs,158.51057,0.627917468411,0.473918437,2007,acoustic
Radiation Blues,We Sing of Only Blood or Love,Dax Riggs,150.15138,0.627917468411,0.473918437,2007,acoustic
Didn't Know Yet What I'd Know When I Was Bleedin',We Sing of Only Blood or Love,Dax Riggs,157.36118,0.627917468411,0.473918437,2007,acoustic
Strange Fruit,Gardenias For Lady Day,James Carter,258.42893,0.498946148399,0.339020746721,2003,acoustic
Dodo's Bounce,Present Tense,James Carter,366.0273,0.498946148399,0.339020746721,2008,acoustic
The Ava Song,Man,Francis Dunnery,257.20118,0.548585130198,0.383524247328,2001,acoustic
Somos Gitanos,Somos Gitanos,Gipsy Kings,222.92853,0.710445622387,0.540630686225,2001,acoustic
Arnold Layne,Arnold Layne,David Gilmour Featuring Richard Wright,202.1873,0.71603520847,0.541656322286,2006,acoustic
Hear Me Now,Best Of,Wet Wet Wet,242.65098,0.642280769426,0.411195687878,2004,acoustic
Josephine (French Edit),Weekend Songs,Chris Rea,236.35546,0.643182772912,0.500691340913,2008,acoustic
Run,The Very Best Of,Lighthouse Family,241.24036,0.663229687567,0.402167047517,2001,acoustic
Just Let Me Be In Love,Ten Rounds,Tracy Byrd,227.57832,0.692975623904,0.422507450826,2007,acoustic
Caja De Cerillas,Kiss The Earth,Johannes Linstead,298.10893,0.579614559691,0.418418096509,2000,acoustic
Guayabera,Zabuca,Johannes Linstead,294.66077,0.579614559691,0.418418096509,2003,acoustic
Pop A Cap In Yo' Ass,Outspoken Part 1,Ben Watt feat. Estelle,389.19791,0.612235270886,0.385209427413,2005,acoustic
Les Playboys (Version Espagnole),En Vogue,Jacques Dutronc,189.36118,0.612953154239,0.454541929151,2004,acoustic
Segredo,Joao Voz E Violato,João Gilberto,197.19791,0.645192338747,0.471224329919,2000,acoustic
Britney,Bebo Norman,Bebo Norman,213.4722,0.683771102049,0.513300123275,2008,acoustic
Sunday,The Way We Love,Bebo Norman,219.45424,0.683771102049,0.513300123275,2006,acoustic
Borrow Mine,Try,Bebo Norman,280.39791,0.683771102049,0.513300123275,2004,acoustic
The Lie,Process Of Belief,Bad Religion,138.84036,0.858677441848,0.618219159412,2002,acoustic
Epiphany,Process Of Belief,Bad Religion,239.882,0.858677441848,0.618219159412,2002,acoustic
You Don't Belong,Process Of Belief,Bad Religion,169.87383,0.858677441848,0.618219159412,2002,acoustic
All On Our Own,One Block Radius,One Block Radius,236.72118,0.646851193887,0.406092676532,2008,acoustic
Never Be Ready,City Of Black & White,Mat Kearney,215.74485,0.774798918726,0.543958210589,2009,acoustic
Early In The Morning,Hurricane Relief: Come Together Now,B.B. King,237.66159,0.708735400038,0.542289933434,2002,acoustic
Luminous Bliss,97 | 07,Atman,290.48118,0.526077280017,0.374560252927,2005,acoustic
Dancing With the Goddess (ttt rmx),97 | 07,Atman,264.25424,0.526077280017,0.374560252927,2007,acoustic
Distant Voices,The Lonely Road,Atman,268.22485,0.526077280017,0.374560252927,2002,acoustic
Schwarzarbeit,Mahlzeit!,Geier Sturzflug,214.20363,0.535492536483,0.443116873986,2006,acoustic
White Christmas,Camp Holiday,Martin Sexton,144.19546,0.641197514984,0.44865347113,2005,acoustic
Ice Cream Man,Live Wide Open,Martin Sexton,352.88771,0.641197514984,0.44865347113,2001,acoustic
Things You Do To Me,Live Wide Open,Martin Sexton,256.62649,0.641197514984,0.44865347113,2000,acoustic
In Fate's Hands (Album Version),Don't You Fake It,The Red Jumpsuit Apparatus,208.79628,0.911044197305,0.570192014645,2006,acoustic
Child Of The Night,Out Here All Night,Damone,217.20771,0.581082685024,0.390023846582,2006,acoustic
Out Deh,The Very Best of Gregory Isaacs Gold,Gregory Isaacs,216.5024,0.709472620461,0.451998594069,2001,acoustic
Facedown,Here I Am To Worship Vol 2,Matt Redman,336.92689,0.743458883632,0.51919870209,2003,acoustic
Mai,The Red Record,Loudermilk,272.03873,0.472468368389,0.313180080331,2002,acoustic
Hard Times,Eastmountainsouth,Eastmountainsouth,225.61914,0.583290824135,0.385998326334,2003,acoustic
I Can't Be Satisfied,Bluesman,John Hammond,195.3171,0.590692917947,0.452817837697,2002,acoustic
Come To Find Out,In Your Arms Again,John Hammond,247.32689,0.590692917947,0.452817837697,2005,acoustic
Dope Nose,Maladroit,Weezer,137.37751,0.831197177107,0.776167742324,2002,acoustic
I Don't Want To Let You Go,Raditude,Weezer,228.44036,0.830884642148,0.776167742324,2009,acoustic
Don't Let Go,The Green Album,Weezer,180.97587,0.830884642148,0.776167742324,2001,acoustic
Mykel And Carli,Weezer (Rarities Edition),Weezer,172.14649,0.831197177107,0.776167742324,2004,acoustic
Quasar,Spiritual Garden,Kitaro,410.06975,0.66808729556,0.459387424613,2006,acoustic
Stampede,Suck Out The Poison,He Is Legend,207.12444,0.744873719262,0.505012391947,2006,acoustic
You're My Girl (LP Version),Rhinoceros,Rhinoceros,280.24118,0.573386724118,0.328650096388,2002,acoustic
Wicked Little Town (Album Version),Give It All Away,Ben Jelen,240.32608,0.630247495104,0.377904479782,2004,acoustic
All Creatures Of Our God And King,Downtown Church,Patty Griffin,256.39138,0.716101705237,0.514523378441,2010,acoustic
Down On The Farm (2006 Remastered Edit Version),The Best Of Little Feat,Little Feat,228.98893,0.674913857635,0.479187492236,2006,acoustic
Hell,In Your Honor,Foo Fighters,117.002,0.839275392927,0.550762084656,2005,acoustic
Still,In Your Honour,Foo Fighters,313.10322,0.839275392927,0.521843187008,2005,acoustic
Overdrive,ONE BY ONE,Foo Fighters,270.47138,0.839275392927,0.550762084656,2002,acoustic
Razor,Razor,Foo Fighters,287.99955,0.839275392927,0.550762084656,2005,acoustic
If Ever,The Pretender,Foo Fighters,253.67465,0.839275392927,0.550762084656,2007,acoustic
The Poet And The Pendulum,Dark Passion Play,Nightwish,834.66404,0.801989215969,0.580345271378,2007,acoustic
Escapist,Made In Hong Kong (And In Various Other Places),Nightwish,301.06077,0.808784961537,0.593624365527,2007,acoustic
Kuolema Tekee Taiteilijan,Once,Nightwish,238.54975,0.801989215969,0.580345271378,2004,acoustic
Sleepwalker,Wishmaster,Nightwish,175.80363,0.801989215969,0.580345271378,2000,acoustic
Clothes Of Sand,The Edge Of Silence,Solas,255.97342,0.602360696263,0.366348438993,2002,acoustic
Quiero,Segundo,Juana Molina,159.65995,0.703664889917,0.448223589227,2003,acoustic
