release,artist_name,artist_familiarity,artist_hotttnesss,year,term
Myth Takes,!!!,0.609538991619,0.482131081053,2007,rock
Volvio La Alegria_ Vieja !!!,2 Minutos,0.591846287473,0.372462979783,2003,rock
Relax,2-4 Grooves feat. Reki D.,0.622829996885,0.426944256236,2009,techno
22-20s,22-20s,0.593240643949,0.464277500246,2004,rock
Rette Mich Später,2raumwohnung,0.664559978604,0.397569595443,2010,techno
The Better Life - Deluxe Edition,3 Doors Down,0.840432466617,0.642982219877,2007,rock
3 Of Hearts,3 of Hearts,0.421892529136,0.238795250935,2001,pop
Kings and Queens,30 Seconds To Mars,0.909324833658,0.677087546712,2009,rock
Panoramic,32 Leaves,0.646880870624,0.402391107929,2009,rock
WANT,3OH!3,0.786529475646,0.603324560016,2008,rock
Nothing To Remember,40 Grit,0.45197771728,0.331351564822,2003,techno
Chapter One .. A Decade,4Him,0.565089892204,0.448593802612,2000,vocal
Get Rich Or Die Tryin',50 Cent,0.883487079775,0.588649958891,2002,soul
The Massacre (Ecopac Reissue Explicit),50 Cent / Mobb Deep,0.88348708528,0.588649958891,2005,soul
Ridin' High,8Ball & MJG,0.501662611178,0.423580358509,2007,soul
I_ Colossus,A Different Breed of Killer,0.623017302412,0.3535405082,2008,metal
War Of Aggression,A Perfect Murder,0.607919978013,0.398727122966,2007,rock
She Watched The Sky,A Skylit Drive,0.841136406011,0.556910567618,2007,rock
Rattlesnake!,A Static Lullaby,0.758678715163,0.557562472221,2008,rock
Joan of Arc Presents: Don't Mind Control,A Tundra,0.494301824295,0.239041138895,2010,pop
Star Live Concert,A-Mei,0.537844156334,0.367243766155,2008,r&b
DECEMBERUNDERGROUND,AFI,0.909247283467,0.554938522475,2006,rock
Since the Last Time,ARRESTED DEVELOPMENT,0.701118744419,0.415441655824,2006,soul
No Silence,ATB,0.79069593908,0.508177085178,2004,rock
Aziatic,AZ,0.640695920704,0.449602655974,2002,soul
Abijah,Abijah,0.504424856033,0.304310732964,2003,reggae
Programmed to Consume,Abysmal Dawn,0.64602134277,0.40880107252,2008,metal
Anomaly,Ace Frehley,0.626567712678,0.443847738792,2009,vocal
Lightning Strikes,Aceyalone,0.756790991767,0.458697013253,2007,techno
Adam Richman Live at Maxwell's 02/28/2006,Adam Richman,0.600704000765,0.385851304394,2005,rock
Faultline,Adrienne Pierce,0.582431619241,0.409192654106,2008,rock
Divinaura,Aeoliah,0.549395618735,0.379408534762,2007,rock
Urban Renewal Program - Supplement 1.5,Aesop Rock,0.83453858559,0.477310881067,2002,rap
Martina,Africando,0.56304868882,0.348226729698,2003,techno
Mandali,Africando All Stars,0.56304868882,0.348226729698,2003,techno
Der Letzte seiner Art,Afrob feat. Sarah,0.622383753576,0.368196028137,2009,techno
Warriors,Agnostic Front,0.701441758982,0.504307725982,2007,rock
Knives [Clean],Aiden,0.773491324498,0.500459150659,2009,rock
Life After That,Airto Moreira,0.557651996569,0.348230026723,2003,soul
Quiet Songs,Aisha Duo,0.63807337636,0.417967347263,2005,jazz
Lonely,Akon,1.0,0.826777013491,2004,soul
Night At The Museum,Alan Silvestri,0.629301805676,0.450779890687,2006,techno
Alex Gopher (Versailles Special Edition),Alex Gopher,0.648692286301,0.393369406146,2007,techno
Siempre en mi mente,Alex Ubago,0.5814752193,0.298377039157,2003,pop
Alex Loves...,Alexander O'Neal,0.609123874818,0.462367839987,2008,techno
The Ghost Writer,Alexandre Desplat,0.609816403443,0.560380805158,2010,rock
Les Affranchis,Alexis HK,0.629399857238,0.345269234911,2009,rock
Crisis,Alexisonfire,0.831163941109,0.578933540317,2005,rock
THE EYES OF,Alice Cooper,0.838924310507,0.607792751463,2003,rock
Black Gives Way To Blue,Alice In Chains,0.796337059499,0.582921576451,2009,soul
Unplugged,Alicia Keys,0.93391610637,0.821648466961,2005,vocal
Looking Into It,All Girl Summer Fun Band,0.537532967491,0.369870107031,2008,rock
The Price Of Existence,All Shall Persih,0.741848575612,0.523561641644,2006,rock
Umbrella,All Time Low,0.842431482081,0.526458223464,2008,rock
Big Band Favourites Vol 3,Alvino Rey And His Orchestra,0.366678331092,0.272471255916,2005,jazz
All Money Is Legal,Amil,0.583298629996,0.354574370509,2000,rap
Wound Creations,Amoral,0.618284730251,0.414275681641,2001,techno
Am Universum,Amorphis,0.709010525103,0.553566172071,2001,rock
Take The Box,Amy Winehouse,0.899709852629,0.583732613088,2003,vocal
Still Making History,Ana Popovic,0.621616921718,0.448459767905,2007,soul
We Are To Answer,Ancient Astronauts,0.553914553192,0.36481887024,2009,instrumental
40 Frauen / Im September,Andreas Dorau,0.501785968274,0.382426584202,2005,techno
The Wolf,Andrew W.K.,0.698532476696,0.509456000853,2003,techno
La Vie D'Ici Bas,André Minvielle,0.49112399325,0.420274329902,2007,vocal
Les Increvables N1,André Verchuren,0.360729205802,0.26712486735,2001,rock
Desde mi barrio,Andy & Lucas,0.538137739913,0.400387756597,2005,pop
Mulholland Drive,Angelo Badalamenti,0.698770477796,0.399451724005,2001,rock
Signature,Ann Hampton Callaway,0.50677396849,0.37976178373,2005,vocal
So Deep,Ann Lee,0.531829215775,0.345734866164,2000,techno
Anna Abreu,Anna Abreu,0.612576141799,0.415748475536,2007,vocal
The 10th Kingdom,Anne Dudley,0.543290242866,0.35199833791,2000,soul
Bare,Annie Lennox,0.806580411327,0.621085212055,2003,vocal
Virgen De La Caridad,Anthony Blea Y Su Charanga,0.363237122476,0.215014649855,2004,jazz
Tsahai Riddim (aka Receive),Anthony Cruz,0.534443602415,0.333584627835,2005,reggae
Underground Network,Anti-Flag,0.844039532227,0.524378987515,2001,rock
From The Ground Up,Antigone Rising,0.583107636129,0.343963910714,2005,rock
Brain Patch Error,Aphasia,0.52059980066,0.338074486151,2001,techno
I Can't Stop Dancing,Archie Bell and The Drells,0.549353376811,0.417124583719,2004,soul
Places Like This,Architecture In Helsinki,0.807876867889,0.505181615869,2007,vocal
Whatever People Say I Am_ That's What I'm Not,Arctic Monkeys,0.816596710223,0.553661233298,2004,rock
Portals,Arsonists Get All The Girls,0.725402920778,0.45495739482,2009,rock
Sirius Calling,Art Ensemble Of Chicago,0.57070446927,0.394921730676,2004,soul
Trumpet Evolution,Arturo Sandoval,0.561464646411,0.423527584809,2003,soul
Sounds So Good,Ashton Shepherd,0.679395051422,0.390963611732,2008,folk
Xtreme Control EP,Ashtrax,0.458292314005,0.28172467302,2002,techno
